Content,Label
> From: fork-admin@xent.com [mailto:fork-admin@xent.com] On Behalf Of,ham
,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
"Hello, have you seen and discussed this article and his approach?",ham
,spam
use Perl Daily Newsletter,ham
>Benoit claimed the prize for his size 14 feet. In the female division of the,spam
>Helen & Mike wrote:,spam
>I managed to get myself an iMac yesterday (just a G3 but a good'un) and was,spam
>  >Tom R:,spam
>That Goddess Chick wrote:,spam
Hi,spam
,ham
URL: http://diveintomark.org/archives/2002/10/08.html#teach_a_man_to_fish,ham
URL: http://www.aaronsw.com/weblog/000643,ham
URL: http://boingboing.net/#85537486,ham
"Date:        Wed, 21 Aug 2002 10:40:39 -0500",spam
URL: http://boingboing.net/#85537496,ham
URL: http://boingboing.net/#85535421,ham
URL: http://boingboing.net/#85534328,ham
"URL: http://www.newsisfree.com/click/-2,8655706,215/",ham
"URL: http://www.newsisfree.com/click/-2,8655710,215/",ham
"URL: http://www.newsisfree.com/click/-2,8655713,215/",ham
"URL: http://www.newsisfree.com/click/-1,8640496,1440/",ham
"URL: http://www.newsisfree.com/click/-1,8643939,1440/",ham
"URL: http://www.newsisfree.com/click/-1,8639021,1440/",ham
"URL: http://www.newsisfree.com/click/-1,8639022,1440/",ham
I don't know how make of you are in the Bay Area but EFF is having a benifit,spam
Quoting Brendan Kehoe (brendan@zen.org):,spam
Brendan Kehoe wrote:,spam
"Thanks for the info AJ, I found ""weblog"" at",spam
>>From the BBC website - www.bbc.co.uk,ham
http://news.bbc.co.uk/1/hi/entertainment/showbiz/2308581.stm,ham
">I'd normally never buy this but the Xbox is Eur300 on IOL's shop, a very",spam
"http://www.guardian.co.uk/religion/Story/0,2763,806744,00.html",ham
"http://www.guardian.co.uk/climatechange/story/0,12374,806695,00.html",ham
Nobel Honors 3 for Astrophysics Work,ham
"http://www.guardian.co.uk/international/story/0,3604,806579,00.html",ham
Yes - great minds think alike. But even withput eval rules it would be very,spam
Ananova:,ham
Ananova:,ham
HUBBLE SPOTS AN ICY WORLD FAR BEYOND PLUTO,ham
"Actually, I'd be more inclined to look into:",ham
Rohit Khare wrote:,spam
,spam
------------------------ Yahoo! Groups Sponsor ---------------------~-->,ham
This is a multi-part message in MIME format...,spam
,ham
,ham
,ham
,ham
<!-- _IMN:H_ --> <title>Media Unspun</title>,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,spam
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
,ham
From: Steve Speer,ham
I seem to be having a little trouble with it. My printers.conf is:,ham
"On Tue, 2002-10-08 at 14:13, John Moylan wrote:",spam
"On Mon, Aug 19, 2002 at 03:08:16PM +0100, John P. Looney mentioned:",spam
http://www.ouchytheclown.com/welcome.html,ham
"On Tue, 27 Aug 2002 MICGRANGER@aol.com wrote:",spam
David asked:,spam
>peter fwded:,spam
>David asked:,ham
> An illusionist has emerged after 24 hours underwater in a case in New York's,spam
> So now Osama bin Laden is Hitler. And Saddam Hussein is Hitler. And,spam
"On Tue, 27 Aug 2002 10:15:36 -0500 (EST)",spam
http://news.bbc.co.uk/1/hi/world/asia-pacific/2220132.stm,ham
"http://www.guardian.co.uk/uk_news/story/0,3604,781616,00.html",ham
--==_Exmh_-1317289252P,spam
-----BEGIN PGP SIGNATURE,ham
The Electronic Telegraph,ham
The Electronic Telegraph,ham
"http://media.guardian.co.uk/broadcast/comment/0,7493,781769,00.html",ham
http://yorkshirepost.co.uk/ed/front/481722,ham
>>From todays Sun:,ham
"> Sheikh Abu Hamza al-Masri, our maddest of mad mullahs and a cartoon bogeyman",spam
The Times,ham
"The hunting community showing, yet again, how utterly out of touch they",spam
Scott,ham
">JUST as the pyramids of Egypt were built in honour of great kings, it was",ham
"On Tue, 27 Aug 2002 the voices made Robin Lynn Frank write:",spam
SpamAssassin is hurting democracy!,ham
">>>>> ""M"" == Mike Masnick <mike@techdirt.com> writes:",spam
"> Ultimately, there was a big",spam
">>>>> ""A"" == Adam L Beberg <beberg@mithral.com> writes:",spam
From the local paper this morning.,ham
,spam
,spam
http://www.nme.com/news/102774.htm,ham
> CAM'RON associate JUELZ SANTANA has vehemently defended a lyric on the,spam
"Hey,",ham
"Hi,all:",ham
"Hi all,",ham
"On Tue, 27 Aug 2002, Jon wrote:",spam
"If you're not in Doolin, beg, borrow, or steal your way there before",ham
Inn Share's [shareinnn@yahoo.com] 22 lines of wisdom included:,spam
Philip Reynolds wrote:,spam
"On Tue, 27 Aug 2002, David Neary wrote:",spam
"Might just take a trip over there later tomorrow, it is after all only",ham
"Hi,",ham
Darren Kenny wrote:,spam
Philip Reynolds wrote:,spam
"On Tue, Aug 27, 2002 at 11:38:00PM +0100, Vincent Cunniffe mentioned:",spam
"--- In forteana@y..., ""D.McMann"" <dmcmann@b...> wrote:",spam
"Ok, Iknow this is blatantly OT but I'm beginning to go insane.",ham
John P. Looney wrote:,spam
I vote usb 1.1 as the chances are the cdr drive is not over 8x write and,spam
,ham
,ham
John P. Looney wrote:,spam
Hello folks!,ham
Paul Jakma wrote:,spam
Inn Share wrote:,spam
,ham
Inn Share <shareinnn@yahoo.com> writes:,spam
In a nutshell - Solaris is Suns own flavour of UNIX.,ham
David Neary wrote:,spam
"I'm not familiar with Dell Dimension XPS, and, to be honest, not familiar",spam
"On Fri, Aug 23, 2002 at 09:26:47AM +0100, Padraig Brady wrote:",spam
"Hi all,",ham
"While I was playing with the past issues, it annoyed me that there was",ham
,ham
http://www.cnn.com/2002/WORLD/americas/08/26/peru.mother.reut/index.html,ham
------------------------ Yahoo! Groups Sponsor ---------------------~-->,ham
Barbara wrote:,ham
"--- In forteana@y..., ""Martin Adamson"" <martin@s...> wrote:",spam
http://yorkshirepost.co.uk/scripts/editorial2.cgi?cid=news&aid=481687,ham
http://yorkshirepost.co.uk/scripts/editorial2.cgi?cid=news&aid=481620,ham
Apols if this has been posted before:,ham
Evening Standard - 28 August 2002,ham
"Hi,",ham
http://news.bbc.co.uk/1/hi/uk/2220922.stm,ham
http://news.bbc.co.uk/1/hi/technology/2219079.stm,ham
Ananova:,ham
"Not fortean, but a moment in time all the same...",ham
Does anyone know if this is supported under 2.4.18 kernels or higher?,ham
"ive just gotton myself a modem (no its not a winmodem, yes im sure) it dials",ham
"Martin Adamson wrote:>>And we know how unbiased MEMRI is, don't we....",spam
>,spam
Can someone explain what type of operating system Solaris is... as ive never,ham
the latest,spam
Near the end of his *Memoirs of Extraordinary Popular Delusions and the,ham
"To unsubscribe from this group, send an email to:",ham
Bill:,spam
"Of course, everyone knows that Owlman is a work of fuggin` genius",spam
,ham
The Times,ham
> Zimbabwe has dropped objections to accepting genetically modified (GM) grain,spam
Martin:,spam
The Times,ham
"Hi all,",ham
Quoting Waider (waider@waider.ie):,spam
> Apols if this has been posted before:,spam
"On 0020 +0100 %{!Thu, Sep 05, 2002 at 11:53:32PM +0100}, Darragh wrote:",spam
"Hello all,",spam
Quoting kevin lyda (kevin+dated+1031593647.e87527@ie.suberic.net):,spam
"Hello again. I tried all the suggestions for the PCTel driver and at the end of it, everything still goes smoothly until I type ""make"" after I get the output from the ./configure.",ham
"On 0020 -0700 %{!Thu, Sep 05, 2002 at  3:17:36PM -0700}, eric nichols wrote:",spam
"Hi All,",ham
,spam
"On Tue, Oct 08, 2002 at 11:51:54AM -0700, Elias wrote:",spam
-----BEGIN PGP SIGNED MESSAGE,spam
http://reuters.com/news_article.jhtml?type=entertainmentnews&StoryID=1543345,ham
"On Thu, Aug 22, 2002 at 05:13:01PM +0100, Fergal Moran mentioned:",spam
The academic discipline of Software Engineering was launched at a conference,ham
http://www.techcentralstation.com/1051/printer.jsp?CID=1051-100802B,ham
,spam
"So, given the apparent commonality of these occurances, companies appear",spam
> From: fork-admin@xent.com [mailto:fork-admin@xent.com] On Behalf Of R.,ham
I can't believe I actually read a laugh-out-loud funny profile of the,ham
http://www.nytimes.com/2002/10/09/technology/09KORE.html,ham
"At 12:05 PM 10/4/28 -0400, Stephen D. Williams wrote:",spam
"Hi All,",ham
Colin Nevin wrote:,spam
John P. Looney wrote:,spam
zzzz@spamassassin.taint.org (Justin Mason) writes:,spam
,spam
___________________________________________________________,ham
"Quoting Breathnach, Proinnsias (Dublin) (breatpro@exchange.ie.ml.com):",spam
"On Tue, 8 Oct 2002, John Moylan wrote:",spam
Quoting Paul Linehan (plinehan@yahoo.com):,spam
Matthias Haase wrote:,spam
Any one out their have any RPMs for the new KVim that was just released,ham
Laurent Papier wrote:,spam
,ham
"On Tue, Oct 08, 2002 at 04:36:13PM +0200, Matthias Saou wrote:",spam
Matthias Haase wrote:,spam
,spam
18:51:25 Writing /home/ander/Mail/lists/l-k/.mh_sequences,ham
,ham
"On Mon, Oct 07, 2002 at 11:05:21PM +0200, Matthias Saou wrote:",spam
"Since libdvdcss-1.2.0, I have been unable to play DVDs using ogle, xine,",ham
"I posted about this last week, and I'm still stumped.  apt-get is just",ham
"On Mon, 2002-10-07 at 13:28, Matthias Saou wrote:",spam
"On Tue, 2002-10-08 at 04:48, Panu Matilainen wrote:",spam
"On Tue, 2002-10-08 at 10:36, Matthias Saou wrote:",spam
"On Tue, 08 Oct 2002 13:05:53 -0700",spam
I wrote:,spam
"Once upon a time, Chris wrote :",spam
"On Tue, 08 Oct 2002 23:15:07 -0700",spam
"Hey, it's not easy being green.",spam
Hi.,spam
"Once upon a time, Brian wrote :",spam
"On Wed, 9 Oct 2002 11:03:11 +0200, Matthias Saou <matthias@rpmforge.net> wrote:",spam
"Looks and sounds a hell of a lot like Clare's cat, Violence...",ham
http://news.bbc.co.uk/1/hi/uk/2310209.stm,ham
,ham
------------------------ Yahoo! Groups Sponsor ---------------------~-->,ham
"On Sat, 24 Aug 2002, Adam L. Beberg wrote:",spam
"> If the creator didnt say you could have it without paying, it's theft, so",spam
,ham
Lucas Gonze:,spam
Russell Turpin wrote:,spam
--==_Exmh_-518574644P,spam
-----BEGIN PGP SIGNATURE,ham
--- begin forwarded text,spam
> From: fork-admin@xent.com [mailto:fork-admin@xent.com] On Behalf Of,ham
This article from NYTimes.com,ham
It was one of the first calls David N. Siegel placed when,ham
"Remember I didn't say it was necessarily a good source, just that it",spam
"On Sat, 24 Aug 2002 11:07:00 -0700, ""John Hall"" <johnhall@evergo.net>",spam
-----BEGIN PGP SIGNED MESSAGE,ham
">>From what I read, the rest of it looked quite good so it does seem odd",spam
Does anyone here know if the Computational Recreations columns from,ham
Hire a really talented skywriter to doodle nudie pics in the sky and see,spam
"On 26 Aug 2002, RossO wrote:",spam
"> On Thu, 22 Aug 2002, John P. Looney wrote:",spam
R. A. Hettinga wrote:,spam
Adam L. Beberg wrote:,spam
"So, last night around 5:30AM I'm woken up by a loud *craaack*, followed by",ham
"On Mon, 26 Aug 2002, Jim Whitehead wrote:",spam
"At 01:12 AM 8/24/02 -0700, Adam L. Beberg wrote:",spam
"On Mon, 2002-08-26 at 11:41, Mike Masnick wrote:",spam
"Actually, this is common. I've known a couple of",spam
I think that this and other articles confuse Socialism with,spam
I think that this and other articles confuse Socialism with,spam
I think that this and other articles confuse Socialism with,spam
,ham
thx for the thoughts gentlemen (yes as someone said i use terms loosely),spam
"right Mike,",ham
Justin Mason writes:,spam
-,ham
"On Thu, 22 Aug 2002, Lucas Gonze wrote:",spam
"Hi Kragen,",spam
Didn't we just have a discussion on FoRK how hard,ham
"There's been well documented articles, studies of the",spam
Doom 3 will be based on a peer to peer architecture says,ham
I finally let go of my Irix Magic desktop and window manager,ham
Hi everybody!,ham
More articles that support my fantasy that Irvine is the,ham
This message was sent to you from http://www.idg.net,spam
"On Tue, 2002-08-20 at 15:01, Ian Andrew Bell wrote:",spam
"On Sat, 2002-08-24 at 08:04, Gregory Alan Bolcer wrote:",spam
Jim Whitehead wrote:,spam
John Hall:,spam
"On Mon, 26 Aug 2002, Joseph S. Barrera III wrote:",spam
Adam L. Beberg wrote:,spam
"On Mon, 26 Aug 2002, Geege wrote:",spam
"On Mon, 26 Aug 2002, Geege wrote:",spam
Oooops!,spam
What are you trying to sell???? What is the Value???,spam
,ham
(Via Robot Wisdom)   Maybe you UC folk know these people?,ham
> Bottom line: the late Senate Minority Leader certainly would have,ham
UW Email Robot said:,spam
Justin Mason writes:,spam
"> Now, to do this, we all know they have to be cracking the strong crypto used",spam
">>>>> ""O"" == Owen Byrne <owen@permafrost.net> writes:",spam
Gary Lawrence Murphy:,spam
JoeBar wrote:,spam
">>>>> ""R"" == Russell Turpin <deafbox@hotmail.com> writes:",spam
"On Thursday, August 22, 2002, at 10:24  AM, Justin Mason wrote:",spam
">>>>> ""R"" == Robert Harley <harley@argote.ch> writes:",spam
Mike Masnick wrote:,spam
GLM wrote:,spam
"On Tue, 2002-08-27 at 08:58, Joseph S. Barrera III wrote:",spam
"Great, this is half of what I'd need to become Spider Man! Now all I need to",ham
"On Wed, 2002-08-28 at 09:58, Gary Lawrence Murphy wrote:",spam
"So, a new family moved in down the street, with two kids, making us very",ham
"At 10:34 AM -0700 on 8/28/02, Jim Whitehead wrote:",ham
">>>>> ""R"" == Robert Harley <harley@argote.ch> writes:",spam
First seen on Dave Winer's Scrpiting News (www.scripting.com) Details here:,ham
"In a message dated: Thu, 22 Aug 2002 13:03:57 CDT",spam
,ham
"It's official, the holidays are here.  I got HTML mail from one of the",ham
"> For example, take the recent CBC Olympics site: I needed to roll",ham
We met a family in our parent-baby group with a son born a few minutes,spam
">>>>> ""J"" == Jim Whitehead <ejw@cse.ucsc.edu> writes:",spam
Eirikur Hallgrimsson wrote:,spam
Gary's news service at teledyn.com has an article on Internet Saturation.,ham
Gary Lawrence Murphy said:,spam
Eirikur Hallgrimsson said:,spam
--------------090602010909000705010009,spam
"When the Intel Pentium 4 2,8GHz CPU arrived to our testlab we ordered 10",ham
,ham
"On Sun, 1 Sep 2002, Bill Stoddard wrote:",ham
"Thanks Paul,",spam
,ham
"Well Beberg, unless you're really into Anime and actually hold true",spam
"beberg, would you rather mrsrobinson@bellsouth.net?",spam
Reza B'Far (eBuilt) wrote:,spam
"""Once we thought of the Internet as this thing with infinite capabilities.",ham
"On Sun, 1 Sep 2002, Joseph S. Barrera III wrote:",spam
"On Sun, 1 Sep 2002, Mr. FoRK wrote:",spam
"On Sunday 01 September 2002 08:43 pm, Reza B'Far (eBuilt) wrote:",spam
,ham
"use this address instead, please.",ham
"On Mon, Sep 02, 2002 at 03:19:13AM -0400, Eirikur Hallgrimsson wrote:",spam
With the increasing prevalence of web services (not that they are always a,spam
"Folks,",ham
"Of course they had to do this AFTER we purcahsed these all on vhs, and yes",ham
>,spam
,ham
"On Mon, 2 Sep 2002, Reza B'Far (eBuilt) wrote:",ham
"On Mon, 2 Sep 2002, Reza B'Far (eBuilt) wrote:",ham
Sunday I drove from Portland down to the Woodburn Dragstrip to check out,spam
--==_Exmh_-403670396P,spam
-----BEGIN PGP SIGNATURE,ham
--==_Exmh_-398538836P,spam
-----BEGIN PGP SIGNATURE,ham
--==_Exmh_-763629846P,spam
-----BEGIN PGP SIGNATURE,ham
--==_Exmh_-451422450P,spam
-----BEGIN PGP SIGNATURE,ham
"Just got this ... I was just reading mail, but in a very dark",ham
"Thanks Tony, but I think doing it using component files will get a .signature",spam
,ham
What's the trick again to have it default to showing text/plain instead of,ham
,spam
,ham
"Date:        Thu, 22 Aug 2002 10:04:06 -0500",spam
,ham
"Date:        Fri, 23 Aug 2002 10:58:20 -0500",spam
"Today an apt-get upgrade holds back php (and submodules, like php-imap).",ham
"On Thu, 2002-08-22 at 19:10, Troy Engel wrote:",spam
"On Thu, 2002-08-22 at 19:10, Troy Engel wrote:",spam
Hi everybody !,ham
"Thanks for this information.  I gave Alsa a try, couldn't figure out how",spam
"In a message dated: Thu, 22 Aug 2002 13:53:55 CDT",spam
,ham
"Once upon a time, """"Angles"" wrote :",spam
"On Mon, Aug 26, 2002 at 07:14:54PM +0200, Matthias Saou wrote:",spam
"On Mon, 26 Aug 2002 19:14:54 +0200, Matthias Saou <matthias@egwn.net> wrote:",spam
"> made. Other than that, I bet you could do non-root. The following can",spam
----- Original Message,spam
http://www.guardian.co.uk/Print/0%2c3858%2c4489999%2c00.html,ham
,ham
"On 2 Sep 2002, RossO wrote:",spam
"On Mon, 2 Sep 2002, Adam L. Beberg wrote:",spam
I stand corrected --- I'd thought I'd seen a display there listing in,spam
,spam
Chris Haun wrote:,spam
"On Tue, 3 Sep 2002, Russell Turpin wrote:",spam
"I used Async IO on System V in the '87, '88 time frame.  I did it that",ham
"On Tue, 2002-09-03 at 16:31, Adam L. Beberg wrote:",spam
"Congrats, in the end...",ham
Of course we've had select() since BSD 4.2 and poll() since System V,spam
"Ah, THIS is the car i've seen on discovery channel, but url via a lurker.",spam
Adam L. Beberg wrote:,spam
"On Tue, 3 Sep 2002, Kragen Sitaker wrote:",spam
--- begin forwarded text,spam
"At 4:12 PM +0000 on 9/3/02, Russell Turpin wrote:",spam
"On Thu, 22 Aug 2002, Joseph S. Barrera III wrote:",spam
"Glad they finally figured this one out... Note the very careful wording, so",ham
Hindus mourn 'monkey god',ham
,ham
"Hindus got 3 billion gods..... So, losing one is no",spam
"So, like many young children, my daughter Tatum (age 21 months) *really*",ham
,ham
Our preschoolers (2 and 4) use Winamp with a Pokemon skin.  It's the,spam
This just blew my mind:,ham
Shouldn't a politician know not to tell the truth? Odds he's impeached by,ham
Jim Whitehead wrote:,spam
<snip>,spam
Someone needs to tell the mayor about this:,spam
Joseph S. Barrera III wrote:,spam
SL> <snip>,ham
"A groys gesheft zol er hobn mit shroyre vus er hot, zol men bay im nit",ham
----- Original Message,spam
">>>>> ""E"" == Elias Sinderson <elias@cse.ucsc.edu> writes:",spam
Mr Fork writes:,spam
"On Wed, 4 Sep 2002, Gordon Mohr wrote:",spam
,ham
"On Wed, 4 Sep 2002, Mr. FoRK wrote:",spam
,ham
"""Jim Whitehead"" <ejw@cse.ucsc.edu> writes:",spam
"On Wed, 4 Sep 2002, Tom wrote:",spam
bitbitch@magnesium.net writes:,spam
"Update on this for anyone that's interested, and because I like closed",spam
"> Now for Benjamin, yea id love to have something like the amazingly cool",spam
Eirikur said:,spam
,spam
"I dunno, BB.  Women who like to be thought of this way should have the",spam
"It's a fair trade, IMO.  Same for some mid-east bloke who's dying to marry",spam
Someone has taken it.  Mostly newtel users.  I think we can take the.,ham
Adam Beberg writes:,spam
"On Thu, 5 Sep 2002 bitbitch@magnesium.net wrote:",spam
Adam Beberg writes:,spam
"On Thu, 5 Sep 2002 bitbitch@magnesium.net wrote:",spam
,ham
"Hello Adam,",spam
,ham
Ah yes..,spam
,ham
Ouch.... hooooo....,spam
"...an alternative to the ""kind of de-feminized, over-sized, self-centered,",spam
"On Thu, 5 Sep 2002 bitbitch@magnesium.net wrote:",spam
"i agree with rob. i think if the phones (and mms is building traction in europe in handsets), this might be interesting. bottom line is will it a) help sell phones and b) bill enough time on the wcarriers networks?",ham
LOL!  They're not doomed at all.  Thousands of men wear cb2000s to work,spam
"On Wednesday 04 September 2002 10:59 pm, CDale wrote:",spam
,ham
"On Fri, 6 Sep 2002, Eugen Leitl wrote:",spam
This is preaty neat.,ham
Has anyone seen/heard of/used some package that would let a random person,ham
"On Fri, 6 Sep 2002, Kragen Sitaker wrote:",spam
"i agree with rob. i think if the phones (and mms is building traction in europe in handsets), this might be interesting. bottom line is will it a) help sell phones and b) bill enough time on the wcarriers networks?",ham
"On Fri, 6 Sep 2002, CDale wrote:",spam
these are being advertised all over the UK/ Chief come-on seems to be to the,spam
Eugen Leitl:,spam
"On Fri, 6 Sep 2002, Russell Turpin wrote:",spam
"Hi all,",ham
Related anecdote:,spam
>>From the Hoax or Hack Dept:,ham
,ham
Turpin:,spam
,ham
--==_Exmh_267413022P,spam
-----BEGIN PGP SIGNATURE,ham
"On Fri, 6 Sep 2002, Russell Turpin wrote:",spam
Originally linked by Dave's Scripting News:,ham
http://oposite.stsci.edu/pubinfo/pr/2002/21/,ham
"On Fri, 6 Sep 2002, Russell Turpin wrote:",spam
,ham
> Clearly our non-silly non-antiquated ideas about relationships have,spam
"In a slightly old news story, it turns out the Chinese government has banned",ham
"On Fri, 6 Sep 2002, Jim Whitehead wrote:",spam
,spam
"On Fri, 6 Sep 2002, Eugen Leitl wrote:",spam
">>>>> ""J"" == Jim Whitehead <ejw@CSE.UCSC.EDU> writes:",spam
"An apparent quote from Dubya, from the Times (sent to me by my Dad):",ham
quitcherbraggin.,spam
,ham
"I recently stumbled across the contents of the journal, ""Electronic",ham
Why should I?  (:,spam
